Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Fire,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.0908928669195537,,,finite/numerically stable but not strict-valid,
Fire,25,dense outer gradient,Militia-centred control minus Fragmented control,0.0238910708378553,,,finite/numerically stable but not strict-valid,
Fire,30,dense outer gradient,Militia-centred control minus Fragmented control,0.0224522354589703,-0.0666161571315201,0.111520628049461,strict-valid,
Fire,35,dense outer gradient,Militia-centred control minus Fragmented control,-0.010427228028206,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.0353398895432382,,,finite/numerically stable but not strict-valid,
Fire,45,dense outer gradient,Militia-centred control minus Fragmented control,0.00730465635601931,,,finite/numerically stable but not strict-valid,
Fire,50,dense outer gradient,Militia-centred control minus Fragmented control,-0.0123688372862229,,,finite/numerically stable but not strict-valid,
Fire,55,dense outer gradient,Militia-centred control minus Fragmented control,-0.0948152053445774,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.0597530294404213,-0.168583308711462,0.049077249830619,strict-valid,
Fire,-20,inner descriptive check,Park-centred control minus Fragmented control,-0.188318356502252,-0.389865821232281,0.0132291082277776,strict-valid,
Fire,-15,inner descriptive check,Park-centred control minus Fragmented control,-0.0449152899641623,-0.203264906447207,0.113434326518882,strict-valid,
Fire,0,legal boundary,Park-centred control minus Fragmented control,-0.102460211716044,-0.186033583524105,-0.0188868399079833,strict-valid,
Fire,15,dense outer gradient,Park-centred control minus Fragmented control,-0.0341744631746722,-0.150987711662376,0.0826387853130312,strict-valid,
Fire,20,primary spaced outer boundary,Park-centred control minus Fragmented control,0.0559748183121378,,,finite/numerically stable but not strict-valid,
Fire,25,dense outer gradient,Park-centred control minus Fragmented control,0.136602687551553,,,finite/numerically stable but not strict-valid,
Fire,30,dense outer gradient,Park-centred control minus Fragmented control,0.0914460367107834,0.00506819109318769,0.177823882328379,strict-valid,
Fire,35,dense outer gradient,Park-centred control minus Fragmented control,-0.0944540851306463,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.170057122471556,,,finite/numerically stable but not strict-valid,
Fire,45,dense outer gradient,Park-centred control minus Fragmented control,-0.124009894788419,,,finite/numerically stable but not strict-valid,
Fire,50,dense outer gradient,Park-centred control minus Fragmented control,-0.0906737617819465,,,finite/numerically stable but not strict-valid,
Fire,55,dense outer gradient,Park-centred control minus Fragmented control,-0.099083064096709,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Park-centred control minus Fragmented control,0.0178951193269703,-0.0867708548039138,0.122561093457854,strict-valid,
Fire,-20,inner descriptive check,Park-centred control minus Militia-centred control,-0.0230980718590862,-0.234089789442103,0.187893645723931,strict-valid,
Fire,-15,inner descriptive check,Park-centred control minus Militia-centred control,0.0386633917172707,-0.127973878674923,0.205300662109464,strict-valid,
Fire,0,legal boundary,Park-centred control minus Militia-centred control,0.0571190946708212,-0.0310364917718946,0.145274681113537,strict-valid,
Fire,15,dense outer gradient,Park-centred control minus Militia-centred control,-0.143425720185411,-0.266817134735993,-0.0200343056348282,strict-valid,
