cell,x,y,distance_to_park_boundary_km,signed_distance_km,side,in_primary_10km,authoritative_cluster,reproduced_cluster_raw,reproduced_cluster_clean,reproduced_cluster_matched,changed_by_despeckling_stage,connected_component,largest_component_share
249271,477750,8859250,75.1215703125,75.1215703125,outside,FALSE,2,1,1,1,FALSE,1,1
249718,477750,8858750,75.5148984375,75.5148984375,outside,FALSE,2,1,1,1,FALSE,1,1
251491,470250,8856750,72.8234140625,72.8234140625,outside,FALSE,2,3,3,3,FALSE,1,1
251658,553750,8856750,115.6557421875,115.6557421875,outside,FALSE,1,2,2,2,FALSE,1,1
251940,471250,8856250,73.78346875,73.78346875,outside,FALSE,2,3,3,3,FALSE,1,1
252998,553250,8855250,116.6286875,116.6286875,outside,FALSE,1,2,2,2,FALSE,1,1
253440,550750,8854750,115.6989609375,115.6989609375,outside,FALSE,2,1,1,1,FALSE,1,1
253726,470250,8854250,74.9466484375,74.9466484375,outside,FALSE,3,2,2,2,FALSE,1,1
253891,552750,8854250,117.19428125,117.19428125,outside,FALSE,2,1,1,1,FALSE,1,1
254173,470250,8853750,75.3740703125,75.3740703125,outside,FALSE,3,2,2,2,FALSE,1,1
254638,479250,8853250,80.8022265625,80.8022265625,outside,FALSE,2,1,1,1,FALSE,1,1
254640,480250,8853250,81.4002421875,81.4002421875,outside,FALSE,2,1,1,1,FALSE,1,1
254649,484750,8853250,84.1858046875,84.1858046875,outside,FALSE,2,1,1,1,FALSE,1,1
255067,470250,8852750,76.2315546875,76.2315546875,outside,FALSE,3,2,2,2,FALSE,1,1
255091,482250,8852750,83.0135546875,83.0135546875,outside,FALSE,3,2,2,2,FALSE,1,1
255514,470250,8852250,76.66159375,76.66159375,outside,FALSE,3,2,2,2,FALSE,1,1
257783,487250,8849750,88.4773984375,88.4773984375,outside,FALSE,1,2,2,2,FALSE,1,1
258232,488250,8849250,89.4986015625,89.4986015625,outside,FALSE,2,1,1,1,FALSE,1,1
