SESU_ID,side,eligible_cells,events,cell_years,group_years,boundary_center_km,outcome,design_membership,median_abs_smd,max_abs_smd,maximum_overlap_with_another_center
1,outside,12865,149887,283030,22,55,fire,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,inside,5817,75411,127974,22,55,fire,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,outside,5870,77340,129140,22,55,fire,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
1,inside,14245,708,306495,22,55,tree_cover_loss,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
1,outside,12865,843,275835,22,55,tree_cover_loss,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,inside,5817,35,127788,22,55,tree_cover_loss,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,outside,5870,59,128638,22,55,tree_cover_loss,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
1,inside,14245,536,309063,22,55,agriculture,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
1,outside,12865,325,280881,22,55,agriculture,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,inside,5817,0,127974,22,55,agriculture,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
3,outside,5870,2,129139,22,55,agriculture,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
1,inside,13326,145337,293172,22,60,fire,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
1,outside,12678,160653,278916,22,60,fire,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,inside,6145,80030,135190,22,60,fire,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,outside,4681,60406,102982,22,60,fire,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
1,inside,13326,762,286111,22,60,tree_cover_loss,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
1,outside,12678,668,273372,22,60,tree_cover_loss,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,inside,6145,55,134820,22,60,tree_cover_loss,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,outside,4681,40,102634,22,60,tree_cover_loss,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
1,inside,13326,352,290456,22,60,agriculture,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
1,outside,12678,271,276868,22,60,agriculture,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,inside,6145,0,135190,22,60,agriculture,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
3,outside,4681,2,102981,22,60,agriculture,dense;historical,0.0784219776119823,0.239800500064552,0.606658027235453
