record_type,outcome,profile,omitted_episode,estimate,standard_error,conf_low,conf_high,fit_status,episode_id
pairwise,fire,Militia dominant minus Park dominant,SESU3_2004_2006,-0.0242204921607842,0.048684322049066,,,finite_not_strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU3_2004_2006,0.067337360844774,0.407884963416415,-0.732102477286837,0.866777198976385,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU3_2004_2006,0.577954690801436,0.342095510977182,-0.0925401899866674,1.24844957158954,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU3_2004_2006,0.510617329956662,0.423067640826058,-0.318580009086738,1.33981466900006,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2007_2010,0.0685151304718706,0.297494788386709,-0.514563940354443,0.651594201298184,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU3_2007_2010,0.637788061251955,0.319876210604496,0.0108422089559937,1.26473391354792,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU3_2007_2010,0.569272930780084,0.221129882101759,0.135866325955048,1.00267953560512,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU3_2007_2010,0.201702722933118,0.0478761463055001,0.107867200455767,0.295538245410468,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU3_2007_2010,0.144584272078024,0.0461946784035338,0.0540443661296879,0.235124178026361,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU3_2007_2010,-0.0571184508550933,0.0452687432716254,-0.145843557292869,0.0316066555826824,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU3_2007_2010,0.0726131675678395,0.41013701789544,-0.731240616233882,0.876466951369561,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU3_2007_2010,0.622354017642424,0.384691315930792,-0.131627106747247,1.3763351420321,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU3_2007_2010,0.549740850074585,0.409922969267722,-0.25369340612587,1.35317510627504,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2011_2012,0.0642706448380049,0.290994165866514,-0.506067439971637,0.634608729647647,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU3_2011_2012,0.631378974461645,0.313410914709213,0.0171048692698318,1.24565307965346,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU3_2011_2012,0.56710832962364,0.221718146547298,0.132548747671963,1.00166791157532,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU3_2011_2012,0.159619026451971,0.0432115983565834,0.0749258499586571,0.244312202945284,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU3_2011_2012,0.0689591155884068,0.043050097615167,-0.0154175252682541,0.153335756445068,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU3_2011_2012,-0.0906599108635639,0.0452441738920055,-0.179336862202162,-0.00198295952496586,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU3_2011_2012,0.0351220999047402,0.391337565563281,-0.731885434396873,0.802129634206353,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU3_2011_2012,0.686981359746379,0.374635431923129,-0.0472905941555618,1.42125331364832,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU3_2011_2012,0.651859259841638,0.423836713670803,-0.17884543427895,1.48256395396223,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2013_2015,0.0637950108495465,0.293435606163489,-0.511328209012572,0.638918230711665,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU3_2013_2015,0.633420080149684,0.311714295868837,0.0224712867804999,1.24436887351887,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU3_2013_2015,0.569625069300137,0.223314247310528,0.131937187336831,1.00731295126344,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU3_2013_2015,0.114663353337674,0.046906522806292,0.0227282579973352,0.206598448678013,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU3_2013_2015,0.102490705462954,0.0416836715518984,0.0207922104778362,0.184189200448072,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU3_2013_2015,-0.0121726478747202,0.0473980536849943,-0.105071126034605,0.0807258302851645,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU3_2013_2015,0.0793535712786658,0.41507393507005,-0.734176392379949,0.892883534937281,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU3_2013_2015,0.57315708218925,0.342595682543596,-0.0983181168551154,1.24463228123362,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU3_2013_2015,0.493803510910584,0.433401007937273,-0.355646855509828,1.343253877331,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2016_2022,0.0672584881368763,0.291563796018026,-0.504196051254237,0.63871302752799,valid,
