run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
lag_1__fire,fire,Neither actor dominant minus Militia dominant,0.0369608141094968,0.0456687595727886,-0.0525483098717876,0.126469938090781,1.03765235870976,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__fire,fire,Neither actor dominant minus Park dominant,0.0243874331267374,0.0457427791582609,-0.0652667665762234,0.114041632829698,1.02468723877635,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__fire,fire,Militia dominant minus Park dominant,-0.0125733809827594,0.048016523736544,-0.106684038169198,0.0815372762036794,0.987505333723204,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.485072427558225,0.429400889361019,-0.35653785051884,1.32668270563529,1.62429264813436,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.608031144753438,0.366901601354612,-0.111082779771673,1.32714506927855,1.83681142054215,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.122958717195213,0.435132209125339,-0.729884741203802,0.975802175594228,1.13083773583036,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.121833350570638,0.277320171676491,-0.42170419810175,0.665370899243026,1.12956584459085,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__agriculture,agriculture,Neither actor dominant minus Park dominant,0.633825481258866,0.314413830483044,0.017585697270818,1.25006526524691,1.88480709964736,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_1__agriculture,agriculture,Militia dominant minus Park dominant,0.511992130688228,0.349821805390956,-0.173646008884826,1.19763027026128,1.66861197926011,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_1
lag_2__fire,fire,Neither actor dominant minus Militia dominant,-0.0504053189780364,0.046131731044303,-0.140821850369358,0.0400112124132857,0.950843951287579,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__fire,fire,Neither actor dominant minus Park dominant,0.00176478147685294,0.0485326211271269,-0.0933574080076435,0.0968869709613494,1.00176633962014,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__fire,fire,Militia dominant minus Park dominant,0.0521701004548893,0.0505632394322631,-0.0469320277740218,0.151272228683801,1.05355493744647,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.42112281380147,0.3276367783125,-0.221033471701763,1.0632790993047,1.52367139479447,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.53021205529889,0.38239919838811,-0.219276601258794,1.27970071185657,1.69929261441807,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.109089241497419,0.430552244145912,-0.734777650491465,0.952956133486304,1.11526187354019,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.18466047624783,0.250229045308254,-0.305779440442188,0.675100392937849,1.20280998823171,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__agriculture,agriculture,Neither actor dominant minus Park dominant,0.903876129871085,0.162115075139177,0.586136421247294,1.22161583849488,2.46915535315268,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
lag_2__agriculture,agriculture,Militia dominant minus Park dominant,0.719215653623255,0.242174502015759,0.244562351698444,1.19386895554807,2.05282245517654,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,lag_2
transition_SESU1_2004_earlier__fire,fire,Neither actor dominant minus Militia dominant,0.103695210121687,0.0460246654783571,,,1.10926231146192,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__fire,fire,Neither actor dominant minus Park dominant,0.0812050952697029,0.0451436434620665,,,1.08459331871634,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__fire,fire,Militia dominant minus Park dominant,-0.0224901148519846,0.0458683970109846,,,0.97776090245681,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.18841050783397,0.398540170722002,-0.592713873173597,0.969534888841538,1.20732903166166,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.611885749162184,0.35305221069937,-0.080083868470827,1.3038553667952,1.8439052651408,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.423475241328214,0.401294276868434,-0.363047088535961,1.20999757119239,1.52725994056733,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.0950082184670562,0.308795463896074,-0.510219769358587,0.7002362062927,1.09966789267331,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Neither actor dominant minus Park dominant,0.654995465647054,0.330286348064253,0.00764611885585864,1.30234481243825,1.92513378812051,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Militia dominant minus Park dominant,0.559987247179998,0.216925438409236,0.134821200567334,0.985153293792662,1.75065017442718,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_earlier
transition_SESU1_2004_later__fire,fire,Neither actor dominant minus Militia dominant,0.177528411430293,0.0441986130637,,,1.19426198811168,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
transition_SESU1_2004_later__fire,fire,Neither actor dominant minus Park dominant,0.10403144828196,0.0413341207810403,,,1.10963535049225,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
transition_SESU1_2004_later__fire,fire,Militia dominant minus Park dominant,-0.0734969631483332,0.0453169143629891,,,0.929138967444457,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
transition_SESU1_2004_later__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.158918608613497,0.463717323244139,-0.749950643952333,1.06778786117933,1.17224253235279,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,transition_SESU1_2004_later
