analysis,SESU_ID,side,year,governance_profile,n,y,outcome,landscape_group
first_crossing_restricted,3,outside,2013,Militia dominant,11986,0,agriculture,Plateau
first_crossing_restricted,3,inside,2013,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2013,Militia dominant,11986,0,agriculture,Plateau
persistence_corrected,3,inside,2013,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2013,Militia dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2013,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2014,Militia dominant,11986,0,agriculture,Plateau
first_crossing_full,3,inside,2014,Militia dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2014,Militia dominant,11986,0,agriculture,Plateau
first_crossing_restricted,3,inside,2014,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2014,Militia dominant,11986,0,agriculture,Plateau
persistence_corrected,3,inside,2014,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2014,Militia dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2014,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2015,Militia dominant,11986,0,agriculture,Plateau
first_crossing_full,3,inside,2015,Militia dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2015,Militia dominant,11986,0,agriculture,Plateau
first_crossing_restricted,3,inside,2015,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2015,Militia dominant,11986,0,agriculture,Plateau
persistence_corrected,3,inside,2015,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2015,Militia dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2015,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2016,Park dominant,11986,0,agriculture,Plateau
first_crossing_full,3,inside,2016,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2016,Park dominant,11986,0,agriculture,Plateau
first_crossing_restricted,3,inside,2016,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2016,Park dominant,11986,0,agriculture,Plateau
persistence_corrected,3,inside,2016,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2016,Park dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2016,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2017,Park dominant,11986,2,agriculture,Plateau
first_crossing_full,3,inside,2017,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2017,Park dominant,11986,2,agriculture,Plateau
first_crossing_restricted,3,inside,2017,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2017,Park dominant,11986,2,agriculture,Plateau
persistence_corrected,3,inside,2017,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2017,Park dominant,11987,7,agriculture,Plateau
annual_presence,3,inside,2017,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2018,Park dominant,11984,0,agriculture,Plateau
first_crossing_full,3,inside,2018,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2018,Park dominant,11984,0,agriculture,Plateau
first_crossing_restricted,3,inside,2018,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2018,Park dominant,11984,0,agriculture,Plateau
persistence_corrected,3,inside,2018,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2018,Park dominant,11987,7,agriculture,Plateau
annual_presence,3,inside,2018,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2019,Park dominant,11984,0,agriculture,Plateau
first_crossing_full,3,inside,2019,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2019,Park dominant,11984,0,agriculture,Plateau
first_crossing_restricted,3,inside,2019,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2019,Park dominant,11984,0,agriculture,Plateau
persistence_corrected,3,inside,2019,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2019,Park dominant,11987,7,agriculture,Plateau
annual_presence,3,inside,2019,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2020,Park dominant,11984,0,agriculture,Plateau
first_crossing_full,3,inside,2020,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2020,Park dominant,11987,7,agriculture,Plateau
annual_presence,3,inside,2020,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2021,Park dominant,11984,0,agriculture,Plateau
first_crossing_full,3,inside,2021,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2021,Park dominant,11987,6,agriculture,Plateau
annual_presence,3,inside,2021,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2022,Park dominant,11984,0,agriculture,Plateau
first_crossing_full,3,inside,2022,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2022,Park dominant,11987,6,agriculture,Plateau
annual_presence,3,inside,2022,Park dominant,12936,0,agriculture,Plateau
