cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
8001,1,67.8398828125,outside,2016,532750,9129250,FALSE,2016,outside,67.8398828125,FALSE,TRUE
8198,1,77.243125,outside,2016,407750,9128750,FALSE,2016,outside,77.243125,FALSE,TRUE
8212,1,73.624046875,outside,2022,414750,9128750,FALSE,2022,outside,73.624046875,FALSE,TRUE
8338,1,65.9241953125,outside,2022,477750,9128750,FALSE,2022,outside,65.9241953125,FALSE,TRUE
8339,1,66.00946875,outside,2020,478250,9128750,FALSE,2020,outside,66.00946875,FALSE,TRUE
8344,1,66.00946875,outside,2022,480750,9128750,FALSE,2022,outside,66.00946875,FALSE,TRUE
8362,1,65.04805859375,outside,2014,489750,9128750,FALSE,2014,outside,65.04805859375,FALSE,TRUE
8363,1,65.03076171875,outside,2007,490250,9128750,FALSE,2007,outside,65.03076171875,FALSE,TRUE
8364,1,65.0173046875,outside,2004,490750,9128750,FALSE,2004,outside,65.0173046875,FALSE,TRUE
8367,1,65,outside,2005,492250,9128750,FALSE,2005,outside,65,FALSE,TRUE
8368,1,65,outside,2014,492750,9128750,FALSE,2014,outside,65,FALSE,TRUE
8369,1,65.001921875,outside,2008,493250,9128750,FALSE,2008,outside,65.001921875,FALSE,TRUE
8373,1,65.02499609375,outside,2001,495250,9128750,FALSE,2001,outside,65.02499609375,FALSE,TRUE
8374,1,64.9191796875,outside,2020,495750,9128750,FALSE,2020,outside,64.9191796875,FALSE,TRUE
8427,1,64.62391015625,outside,2017,522250,9128750,FALSE,2017,outside,64.62391015625,FALSE,TRUE
8778,1,64.93458203125,outside,2006,474250,9128250,FALSE,2006,outside,64.93458203125,FALSE,TRUE
8780,1,65.05766796875,outside,2021,475250,9128250,FALSE,2021,outside,65.05766796875,FALSE,TRUE
8784,1,65.3490625,outside,2019,477250,9128250,FALSE,2019,outside,65.3490625,FALSE,TRUE
8785,1,65.43126171875,outside,2013,477750,9128250,FALSE,2013,outside,65.43126171875,FALSE,TRUE
8786,1,65.517171875,outside,2013,478250,9128250,FALSE,2013,outside,65.517171875,FALSE,TRUE
8787,1,65.60678125,outside,2019,478750,9128250,FALSE,2019,outside,65.60678125,FALSE,TRUE
8788,1,65.700078125,outside,2022,479250,9128250,FALSE,2022,outside,65.700078125,FALSE,TRUE
8791,1,65.517171875,outside,2018,480750,9128250,FALSE,2018,outside,65.517171875,FALSE,TRUE
8809,1,64.5484296875,outside,2019,489750,9128250,FALSE,2019,outside,64.5484296875,FALSE,TRUE
8810,1,64.531,outside,2017,490250,9128250,FALSE,2017,outside,64.531,FALSE,TRUE
8811,1,64.51744140625,outside,2016,490750,9128250,FALSE,2016,outside,64.51744140625,FALSE,TRUE
8812,1,64.50775,outside,2004,491250,9128250,FALSE,2004,outside,64.50775,FALSE,TRUE
8813,1,64.5019375,outside,2006,491750,9128250,FALSE,2006,outside,64.5019375,FALSE,TRUE
8814,1,64.5,outside,2014,492250,9128250,FALSE,2014,outside,64.5,FALSE,TRUE
8861,1,63.239625,outside,2019,515750,9128250,FALSE,2019,outside,63.239625,FALSE,TRUE
8873,1,64.04100390625,outside,2019,521750,9128250,FALSE,2019,outside,64.04100390625,FALSE,TRUE
8874,1,64.13267578125,outside,2019,522250,9128250,FALSE,2019,outside,64.13267578125,FALSE,TRUE
8875,1,64.228109375,outside,2017,522750,9128250,FALSE,2017,outside,64.228109375,FALSE,TRUE
8877,1,64.4301953125,outside,2017,523750,9128250,FALSE,2017,outside,64.4301953125,FALSE,TRUE
